Open,Close,High,Low,Volume,Date
0,88.2,0,0,,01/13/17
88.6,88.6,88.6,88.5,,01/12/17
88.75,88.7,88.75,88.75,,01/11/17
0,86.4,0,0,,01/10/17
0,84.05,0,0,,01/09/17
0,84.75,0,0,,01/06/17
0,85.75,0,0,,01/05/17
83.25,84.2,83.75,83.25,,01/04/17
84,82.5,84,82.5,,01/03/17
0,90.2,0,0,,12/30/16
0,90.6,0,0,,12/29/16
0,90.6,0,0,,12/28/16
0,90.05,0,0,,12/27/16
0,90.05,0,0,,12/23/16
0,90,0,0,,12/22/16
0,90.25,0,0,,12/21/16
0,90,0,0,,12/20/16
89,89.05,89,89,,12/19/16
0,89.4,0,0,,12/16/16
0,90.1,0,0,,12/15/16
0,88.9,0,0,,12/14/16
0,87.55,0,0,,12/13/16
86.2,86.5,86.2,86.2,,12/12/16
0,83.95,0,0,,12/09/16
0,82.6,0,0,,12/08/16
80.5,80.65,80.5,80,,12/07/16
0,79.25,0,0,,12/06/16
0,83.1,0,0,,12/05/16
84.15,84.1,84.15,84.15,,12/02/16
0,85.15,0,0,,12/01/16
0,85.6,0,0,,11/30/16
0,84.75,0,0,,11/29/16
0,84.35,0,0,,11/28/16
0,82.4,0,0,,11/25/16
0,86.65,0,0,,11/24/16
0,85.05,0,0,,11/23/16
0,87.15,0,0,,11/22/16
0,86.8,0,0,,11/21/16
0,86.35,0,0,,11/18/16
86.5,86.5,86.5,86.5,,11/17/16
87,86.5,87,86.5,,11/16/16
0,88.2,0,0,,11/15/16
0,87.95,0,0,,11/14/16
0,89.4,0,0,,11/11/16
0,88.9,0,0,,11/10/16
0,89.55,0,0,,11/09/16
87,87.1,87,87,,11/08/16
88,87.75,88,88,,11/07/16
0,87.05,0,0,,11/04/16
85.6,85.5,86,85.6,,11/03/16
85,84.6,85.75,85,,11/02/16
86.3,85.9,86.3,86,,11/01/16
0,84.35,0,0,,10/31/16
0,82.35,0,0,,10/28/16
0,79.45,0,0,,10/27/16
0,79.5,0,0,,10/26/16
0,79.25,0,0,,10/25/16
0,79.25,0,0,,10/24/16
0,79.15,0,0,,10/21/16
0,78.5,0,0,,10/20/16
79.8,78.25,79.8,79.5,,10/19/16
0,80.1,0,0,,10/18/16
0,77.45,0,0,,10/17/16
0,75.75,0,0,,10/14/16
75.6,75,75.6,75.6,,10/13/16
74.4,74.9,75,74.4,,10/12/16
74.25,74.3,74.45,74.2,,10/11/16
0,75.65,0,0,,10/10/16
77,76.75,77,77,,10/07/16
0,77.2,0,0,,10/06/16
0,75.7,0,0,,10/05/16
0,75.6,0,0,,10/04/16
73.1,74.75,73.5,73.1,,10/03/16
0,70.75,0,0,,09/30/16
0,62.85,0,0,,09/29/16
0,62.8,0,0,,09/28/16
0,62.25,0,0,,09/27/16
0,62.55,0,0,,09/26/16
0,62.6,0,0,,09/23/16
0,62.1,0,0,,09/22/16
0,62.25,0,0,,09/21/16
0,61.5,0,0,,09/20/16
0,61.5,0,0,,09/19/16
0,61.1,0,0,,09/16/16
0,61.1,0,0,,09/15/16
0,60.5,0,0,,09/14/16
0,60.8,0,0,,09/13/16
0,60.35,0,0,,09/12/16
0,60.1,0,0,,09/09/16
0,59.85,0,0,,09/08/16
60.7,60.5,60.7,60.7,,09/07/16
0,61.75,0,0,,09/06/16
0,61.55,0,0,,09/05/16
0,61.9,0,0,,09/02/16
0,61.25,0,0,,09/01/16
0,61.3,0,0,,08/31/16
0,61.2,0,0,,08/30/16
0,59.75,0,0,,08/29/16
